County,pop_density,Total_votes,TOTAL VOTERS,AI,AP,BH,HP,WH,OT,UK,BidenVoteShare,TrumpVoteShare,Turnout,voteChange,TurnoutChange,Median household income,Education,senior,youth,old_margin,new_margin,margin_change,past_result,current_result,urbanicity,in_atlanta_metro,Turnout2016
Johnson,32.50717798,4100,5610,0.05,0.32,29.75,0.29,65.78,0.21,3.6,29.8,69.51,73.08,11.35,4.53,27607,14.7,26.06060606,18.48484848,-37.56,-39.71,-2.15,Rep,Rep,Rural,No,68.55
Jones,73.06628081,14966,20406,0.17,0.45,24.29,0.65,70.31,0.81,3.32,32.66,66.58,73.34,19.48,3.93,50717,27.6,22.13564638,19.58737626,-34.68,-33.92,0.76,Rep,Rep,Rural,No,69.41
Lamar,98.79019074,9039,12872,0.23,0.36,22.72,0.88,68.56,0.93,6.32,28.93,70.03,70.22,19.15,5.73,37536,23.6,23.17433188,19.37538844,-38.5,-41.1,-2.6,Rep,Rep,Rural,No,64.49
Lanier,55.89981647,3576,5496,0.45,0.66,20.69,2.15,70.03,1.24,4.79,28.5,70.16,65.07,24.9,8.87,37522,25.4,18.72270742,21.12445415,-41.15,-41.66,-0.51,Rep,Rep,Rural,No,56.2
Laurens,59.49213427,22729,32874,0.17,0.67,33.81,0.86,58.65,0.92,4.91,35.52,63.76,69.14,16.7,-1.09,38280,23.1,22.73833425,20.13445276,-29.05,-28.24,0.81,Rep,Rep,Rural,No,70.23
Lee,80.96295463,16714,22930,0.2,1.47,18.98,1.19,70.7,0.83,6.63,27.27,71.84,72.89,18.41,7.76,59811,35.9,17.78456171,19.81683384,-52.96,-44.57,8.39,Rep,Rep,Rural,No,65.13
Liberty,131.6639445,21326,35970,0.3,1.91,43.04,6.19,34.47,2.55,11.55,61.2,37.25,59.29,32.32,13.08,42674,27.6,14.75952182,27.04197943,21.23,23.95,2.72,Dem,Dem,Rural,No,46.21
Lincoln,37.07576766,4650,6182,0.19,0.24,26.56,0.45,65.33,0.63,6.58,30.86,68.37,75.22,13.36,5.46,36399,21,28.97120673,16.22452281,-36.23,-37.51,-1.28,Rep,Rep,Rural,No,69.76
Long,39.88858078,5656,9683,0.31,1.27,24.95,5.51,54.38,2.16,11.41,35.94,62.38,58.41,37.38,8.6,41186,25.2,12.5580915,24.45523082,-30.75,-26.44,4.31,Rep,Rep,Rural,No,49.81
Lowndes,226.8127482,46355,75535,0.32,1.26,34.34,2.48,55.31,2.59,3.68,43.4,55.42,61.37,23.19,4.71,39096,32.3,18.62315483,24.39663732,-17.47,-12.02,5.45,Rep,Rep,Suburban,No,56.66
Lumpkin,108.5745591,15531,22412,0.47,0.45,0.8,1.68,88.23,0.96,7.41,20.13,78.31,69.3,25.92,2.54,43394,34.7,24.75905765,20.95752276,-59.99,-58.18,1.81,Rep,Rep,Rural,No,66.76
Macon,35.52316294,4662,7079,0.06,0.99,58.93,1.19,34.4,0.55,3.88,61.28,38.25,65.86,8.75,5.92,27950,14.3,25.14479446,19.52253143,27.18,23.03,-4.15,Dem,Dem,Rural,No,59.94
Madison,99.68474372,14937,20737,0.22,1.03,8.54,1.81,80.16,0.87,7.38,22.84,75.83,72.03,24.95,3.41,41343,23.3,22.13917153,20.38867724,-56.68,-52.99,3.69,Rep,Rep,Rural,No,68.62
Marion,23.90983607,3624,4922,0.22,0.81,30.21,1.83,62.19,0.83,3.9,36.18,62.78,73.63,13.85,14.33,31581,14.5,23.97399431,18.22429907,-22.24,-26.6,-4.36,Rep,Rep,Rural,No,59.3
McDuffie,83.75281597,10455,15083,0.15,0.35,38.75,0.96,58.38,0.44,0.97,39.87,59.01,69.32,12.81,5.55,35414,21.3,23.62262149,19.57833322,-18.7,-19.14,-0.44,Rep,Rep,Rural,No,63.77
McIntosh,33.40089559,6696,9320,0.16,0.32,28.37,0.76,64.6,0.86,4.92,39.01,59.98,71.85,13.43,7.01,39075,23.2,30.0751073,16.31974249,-20.06,-20.97,-0.91,Rep,Rep,Rural,No,64.84
Meriwether,42.76365668,10877,15336,0.19,0.24,34.62,0.59,56.85,0.76,6.75,39.41,59.98,70.92,18.34,8.18,37845,15.6,25.33907147,17.8599374,-15.43,-20.57,-5.14,Rep,Rep,Rural,No,62.74
Miller,21.30514836,2835,3920,0.18,0.15,26.38,0.66,69.64,0.36,2.63,26.42,72.87,72.32,11.44,10.52,33196,18,26.78571429,18.16326531,-49.84,-46.45,3.39,Rep,Rep,Rural,No,61.8
Mitchell,45.25660053,8963,13481,0.13,0.36,42.47,1.2,49.02,0.53,6.29,44.57,55.06,66.49,13.96,6.39,36198,17.6,24.27861435,20.19879831,-10,-10.49,-0.49,Rep,Rep,Rural,No,60.1
Monroe,67.70459485,15592,21151,0.22,0.63,19.62,0.81,71.48,0.97,6.27,28.12,70.93,73.72,22.9,4.44,48297,28.2,23.54498605,18.07006761,-41.46,-42.81,-1.35,Rep,Rep,Rural,No,69.28
Montgomery,37.5751503,3966,5467,0.09,0.18,22,1.9,70.18,0.53,5.1,24.68,74.63,72.54,11.34,5.22,35182,21,24.03511981,18.87689775,-51.18,-49.95,1.23,Rep,Rep,Rural,No,67.32
Morgan,51.43515186,11707,14843,0.11,0.43,18.62,0.92,75.21,0.54,4.17,28.66,70.3,78.87,24.01,4.08,45817,27.7,25.2711716,18.20386714,-41.27,-41.64,-0.37,Rep,Rep,Rural,No,74.79
Murray,114.4250588,15389,22340,0.15,0.21,0.55,5.56,85.46,0.72,7.35,14.96,84.11,68.89,23.87,8.43,38226,16,20.39838854,21.23992838,-68.74,-69.15,-0.41,Rep,Rep,Rural,No,60.46
Muscogee,916.1560146,80543,132029,0.19,1.73,46.41,3.08,39.5,2.08,7.02,61.49,37.31,61,17.31,9.15,41331,33.9,19.1276159,23.2153542,18.75,24.18,5.43,Dem,Dem,Urban,No,51.85
Newton,372.9534098,54239,79098,0.18,0.61,44.55,2.12,42.29,1.6,8.65,54.93,44.01,68.57,23.82,6.06,52361,27.6,17.46946825,22.64785456,2.35,10.92,8.57,Dem,Dem,Suburban,No,62.51
Oconee,183.2383743,25168,30051,0.11,2.64,4.02,2.07,83.25,0.98,6.94,32.43,65.94,83.75,26.28,9.94,74352,53.8,20.53841802,18.8579415,-39.36,-33.51,5.85,Rep,Rep,Rural,No,73.81
Oglethorpe,33.47304162,8131,10848,0.13,0.29,14.37,1.77,75.57,0.95,6.92,29.96,68.79,74.95,22.18,2.54,39319,23.6,23.25774336,18.92514749,-41.99,-38.83,3.16,Rep,Rep,Rural,No,72.41
Paulding,466.2257383,85385,115297,0.23,0.8,19.32,3.53,66.63,1.77,7.7,34.79,63.86,74.06,32.09,7.62,62348,32.5,14.77488573,22.36658369,-41.21,-29.07,12.14,Rep,Rep,Suburban,Yes,66.44
Peach,181.9192121,12545,18164,0.17,0.56,40.14,3.04,49.6,1.13,5.35,47.19,51.83,69.07,16.98,8.76,41014,27.2,23.06210086,21.22880423,-2.92,-4.64,-1.72,Rep,Rep,Suburban,No,60.31
Pickens,127.3377575,17116,23820,0.16,0.4,0.83,1.05,88.95,0.47,8.14,16.41,82.23,71.86,22.4,3.73,49945,32.5,28.29974811,16.53232578,-69.17,-65.82,3.35,Rep,Rep,Rural,No,68.13
Pierce,59.59114032,9048,12735,0.19,0.34,7.66,0.9,82.41,0.52,7.99,12.16,87.3,71.05,23.98,5.81,37062,20.6,23.87907342,18.84570082,-73.98,-75.14,-1.16,Rep,Rep,Rural,No,65.24
